exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,3ULL26863-USD,d,2025-12-03,0.0002,0.0002,0.0002,0.0002,0.0002,606844,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-04,0.0003,0.0003,0.0003,0.0003,0.0003,700212,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-05,0.0003,0.0003,0.0003,0.0003,0.0003,653850,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-08,0.0003,0.0003,0.0003,0.0003,0.0003,609317,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-09,0.0003,0.0003,0.0003,0.0003,0.0003,633807,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-10,0.0003,0.0003,0.0003,0.0003,0.0003,638767,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-11,0.0003,0.0003,0.0002,0.0002,0.0002,643528,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-12,0.0002,0.0002,0.0002,0.0002,0.0002,530916,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-15,0.0002,0.0002,0.0002,0.0002,0.0002,687460,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-16,0.0002,0.0002,0.0002,0.0002,0.0002,604250,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-17,0.0002,0.0002,0.0002,0.0002,0.0002,625822,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-18,0.0002,0.0002,0.0002,0.0002,0.0002,761905,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-19,0.0002,0.0002,0.0002,0.0002,0.0002,513490,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-22,0.0002,0.0002,0.0002,0.0002,0.0002,578884,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-23,0.0002,0.0002,0.0002,0.0002,0.0002,641149,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-24,0.0002,0.0002,0.0002,0.0002,0.0002,679619,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-25,0.0002,0.0002,0.0002,0.0002,0.0002,530279,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-26,0.0002,0.0002,0.0002,0.0002,0.0002,684658,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-29,0.0002,0.0002,0.0002,0.0002,0.0002,599962,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-30,0.0002,0.0002,0.0002,0.0002,0.0002,585451,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2025-12-31,0.0002,0.0002,0.0002,0.0002,0.0002,597497,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2026-01-01,0.0002,0.0002,0.0002,0.0002,0.0002,619001,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
CC,3ULL26863-USD,d,2026-01-02,0.0002,0.0002,0.0002,0.0002,0.0002,621591,3ULL26863-USD,CC,2026-01-04 15:29:42.518851
