exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,ABBC-USD,d,2025-12-03,0.0152,0.0153,0.0144,0.0152,0.0152,52550,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-05,0.0155,0.0155,0.0148,0.0155,0.0155,55785,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-08,0.0152,0.0155,0.0145,0.0152,0.0152,60351,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-09,0.0152,0.0161,0.0146,0.0149,0.0149,59242,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-12,0.0145,0.0155,0.0144,0.0153,0.0153,58924,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-15,0.0155,0.0155,0.0148,0.0151,0.0151,54124,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-17,0.0157,0.016,0.0146,0.0154,0.0154,60676,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-18,0.0154,0.016,0.0154,0.016,0.016,57729,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-19,0.016,0.0161,0.0153,0.0161,0.0161,58467,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-22,0.0178,0.0178,0.0152,0.0164,0.0164,61264,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-24,0.0162,0.0162,0.0156,0.0162,0.0162,56110,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-26,0.0156,0.0158,0.0147,0.0152,0.0152,60565,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2025-12-30,0.0108,0.0138,0.0108,0.0128,0.0128,57331,ABBC-USD,CC,2026-01-04 15:34:06.208879
CC,ABBC-USD,d,2026-01-02,0.0148,0.0149,0.0075,0.0095,0.0095,64612,ABBC-USD,CC,2026-01-04 15:34:06.208879
